Dream_Description,Interpretation
Dream of a wood-pigeon,Represents a servant of the king who is well-informed on governmental affairs.
Dream of a crane,Represents a poor and destitute person from a foreign land.
Dream of a female ostrich,Represents a Bedouin woman.
Dream of a male ostrich,Represents a foreign man who is unmarried.
Dream of a cock,"Represents a foreigner, slave, or an announcer."
Dream of hens,Symbolizes a gathering of women for a happy occasion.
Dream of a partridge or pheasant,Represents a treacherous and deceitful woman.
Dream of a parrot,Represents a slave girl or an orphan boy.
Dream of a peacock,"Represents a foreigner in an Arab land, or assets and beauty."
Dream of a peahen,"Represents an attractive non-Arab lady, or an unreliable but beautiful woman."
Dream of a honey bee,"Represents a blessed, dexterous, and alert son."
Dream of a ring-dove,Represents an immodest woman.
Dream of eating or owning a ring-dove,Indicates involvement with a woman.
Dream of acquiring feathers or eggs of a ring-dove,Represents deceptive methods of trapping a woman.
Dream of hunting a ring-dove,Indicates making false accusations against a woman.
Dream of a nightingale,Represents a blessed baby boy or a loyal servant.
Dream of a crested bird,Represents a small child.
Dream of a sparrow,Represents an obese and dangerous person (male) or a cursed woman (female).
Dream of hunting sparrows,"Indicates acquiring assets, wealth, and booty."
Dream of the chirping of birds,Represents glad tidings.
Dream of a flock of small birds,Represents a blessed person who worships Allah profusely.
Dream of a starling,Represents a person who constantly undertakes religious duties.
Dream of a raven,Represents guidance on the straight path.
Dream of marine birds,"Represents ministers or officials of the king, with birds on dry land indicating prosperity and verdure."
Dream of birds of unknown species,"Symbolizes angels, with interpretations similar to those of seeing angels."
Dream of eating eggs of unknown birds,Represents acquiring wealth and prosperity.
Dream of eating uncooked eggs,Indicates receiving illicit wealth.
Dream of eating the shell or white of the egg,Represents usurping wealth belonging to the deceased or stealing shrouds.
Seeing a fat bird of an unknown species descending from the sky and pecking at blossoms before flying away,Indicates the passing away of a great scholar or notable person.
A cock pecking at someone once or twice,Signifies that a non-Arab person will cause harm or death soon.
"Breaking an egg and eating only the white, not the yolk",Represents engaging in an unlawful act involving the dead.
"Holding a water-bird and trying to slaughter it with a knife thrice, succeeding the fourth time",Symbolizes a desire to control a virgin woman; initial attempts fail but success is achieved eventually.
Person weighing or measuring,"Represents a judge or a magistrate. If the person is seen clapping, it indicates bias or unfair judgment; if dancing, it signifies instability."
Unknown qaadhi or judge,Represents Allah Ta'ala.
Khatee,"Symbolizes a faqih, jurist, or learned scholar."
Perlumer,"Symbolizes a faqih, jurist, or learned scholar."
Money-changer,Represents someone who offers material benefits but is not spiritually beneficial.
Cloth Merchant,"Symbolizes a person of high standing, wisdom, or poetic talent."
Tailor,Represents a person who trades religion for worldly gains or is essential in worldly affairs.
Dealer in Hide and Skin,Represents a wealthy man who earns his wealth through lawful means.
One who Mends Patches,Symbolizes a person who loves to quarrel.
Coal Dealer,Represents a person who unites people and is influential in resolving conflicts.
Slave Trader,Symbolizes someone acquainted with matters of the king or government.
Carpenter,Represents a person with great influence and power over others.
Blacksmith,"Symbolizes a person with vast estates, power, and control."
Wine Merchant,Represents a person who pursues both good and bad opportunities.
Launderer,Symbolizes a person who advises others to repent sincerely.
Chef or Cook,Represents someone who talks a lot to earn a living and gains much good.
Butcher,"If unknown, symbolizes the angel of death; if known, someone who seeks wealth constantly."
Sailor or Navigator,Symbolizes someone who knows how to cure others' ailments.
Goldsmith,Represents a deceitful person who deceives others for material gains.
Phlebotomist,Symbolizes a writer or author.
Welter,Represents a phlebotomist or someone who performs bloodletting.
Cotton-carder,"Symbolizes a truthful, honest person who distinguishes between right and wrong."
Miller,Represents a porter or someone who hires animals.
Cup-bearer,"Symbolizes someone with many friends, relatives, and acquaintances."
Saddler,Represents a person who causes discord between a man and his wife.
Dyer,"Symbolizes a deceitful, boastful person who makes false allegations."
Greengrocer,Represents someone who understands people well and supports his speech with good reasoning.
Minstrel,Symbolizes a person who causes disturbances and division in the community.
Barber,Represents a wealthy person who can both benefit and harm the community.
Shield Maker,Symbolizes someone who transports people from one place to another.
Basket Maker,Represents a wealthy person who can either benefit or harm others.
"Teacher, Ustaad, Tutor","Symbolizes a friend or advisor, and if seen teaching students, it indicates a long life and good age."
Weaver,Represents a traveler.
Treasure Collector,Symbolizes someone with a large family but is unable to support them adequately.
Builder,Represents a person who facilitates repentance and oaths of abstinence from sins.
Surgeon,Symbolizes a liar or a con man who performs magic or deceitful acts.
"Astrologer, Soothsayer, Magician",Represents a great liar who may be close to the king or government.
One who Makes Ta'weez,Symbolizes a person skilled in convincing others with sweet words.
Conjurer or Baghi,Represents someone who deceives people or government officials.
Fishmonger,Symbolizes a leader or chief in the community.
Painter,Represents someone who invents lies against Allah.
Shroud-maker,"If seen by a trustworthy person, it means acquiring great knowledge; if not trustworthy, it symbolizes pursuit of worldly gains."
Grave Digger and Excavator,"Represents death for the dreamer if certain conditions occur (e.g., grave digger being pushed away or falling)."
Noor and Darkness,Noor (light) represents guidance while darkness symbolizes deviation.
Ruins and Desolate Land,Represents going astray and misleading others.
Fort,Symbolizes protection and security for the one who enters it.
Books and Magazines,Rolled up books symbolize concealed news; open books symbolize clear and obvious news.
Seal,Represents something under probation.
Sealed Books,Symbolize riches and fortunes inherited by a person.
Books of Hadith and Fiqh,Symbolize knowledge and wisdom; poetry books symbolize deviation and falsehood.
The Holy Qur'an,"Represents acquiring knowledge, wisdom, and material wealth for helping others."
Desecrating the Holy Qur'an,Tearing or destroying the Qur'an symbolizes making fun of it and showing contempt.
Limb of the Body Becoming Iron,Represents attaining long life.
Becoming a Slave or Prisoner,Symbolizes a desperate situation with loss of wealth and respect.
Limb of the Body Becoming Glass,Represents a very short life span.
Lending or Borrowing Something,Symbolizes safe custody of profits and gains.
